"symbol"	"ensemble_ID"	"entrez_ID"	"norm_exp"
"FUZ"	"ENSG00000010361"	80199	0.422932213396315
"SLC6A13"	"ENSG00000010379"	6540	0.128963310306134
"IDS"	"ENSG00000010404"	3423	0.585063695438954
"PRSS3"	"ENSG00000010438"	5646	0.0555414746003966
"ZNF200"	"ENSG00000010539"	7752	0.425744060147848
"CD4"	"ENSG00000010610"	920	0.390032663521962
"LRRC23"	"ENSG00000010626"	10233	0.3759149377654
"BTK"	"ENSG00000010671"	695	0.654762799846357
"HFE"	"ENSG00000010704"	3077	0.305025619258904
"SCMH1"	"ENSG00000010803"	22955	0.620097942799053
"FYN"	"ENSG00000010810"	2534	0.602548515495136
"HIVEP2"	"ENSG00000010818"	3097	0.650172071174795
"FMO1"	"ENSG00000010932"	2326	0.0880311544763851
"LYPLA2"	"ENSG00000011009"	11313	0.51062195529838
"CLCN6"	"ENSG00000011021"	1185	0.533605292598744
"MRC2"	"ENSG00000011028"	9902	0.384283866756705
"SLC6A7"	"ENSG00000011083"	6534	0.0555414746003966
"TSPAN9"	"ENSG00000011105"	10867	0.355514282630468
"BTBD7"	"ENSG00000011114"	55727	0.585144729738768
"APBA3"	"ENSG00000011132"	9546	0.480691247154163
"MKS1"	"ENSG00000011143"	54903	0.406670683308117
"ABHD5"	"ENSG00000011198"	51099	0.433632005099744
"AKAP8L"	"ENSG00000011243"	26993	0.632924769742732
"MBTD1"	"ENSG00000011258"	54799	0.6091759333794
"UTP18"	"ENSG00000011260"	51096	0.563626047244768
"RNF216"	"ENSG00000011275"	54476	0.629351383544488
"TTC19"	"ENSG00000011295"	54902	0.581753231810303
"PTBP1"	"ENSG00000011304"	100616459	0.695692690821882
"DPF1"	"ENSG00000011332"	8193	0.216994464782519
"SYT7"	"ENSG00000011347"	9066	0.0555414746003966
"LARS2"	"ENSG00000011376"	23395	0.515917319124766
"PIK3C2A"	"ENSG00000011405"	5286	0.599379706172799
"PLAUR"	"ENSG00000011422"	5329	0.470529333742965
"ANLN"	"ENSG00000011426"	54443	0.51157426849347
"WIZ"	"ENSG00000011451"	58525	0.548598925822979
"RABGAP1"	"ENSG00000011454"	23637	0.594678549544094
"DCN"	"ENSG00000011465"	1634	0.0880311544763851
"QPCTL"	"ENSG00000011478"	54814	0.404126678844865
"PPP5C"	"ENSG00000011485"	5536	0.546702283195242
"CEP68"	"ENSG00000011523"	23177	0.640022013597539
"MAP4K3"	"ENSG00000011566"	8491	0.569612188305567
"ZBTB32"	"ENSG00000011590"	27033	0.254655578277575
"TYROBP"	"ENSG00000011600"	7305	0.382948345675131
"GABRA3"	"ENSG00000011677"	2556	0
"BRCA1"	"ENSG00000012048"	672	0.554033510450214
"ERCC1"	"ENSG00000012061"	2067	0.564329249739149
"CD22"	"ENSG00000012124"	100847070	0.684807287192656
"MBTPS2"	"ENSG00000012174"	51360	0.438489820275528
"PRICKLE3"	"ENSG00000012211"	4007	0.388161853020537
"EXTL3"	"ENSG00000012232"	2137	0.527302731293846
"NR1H4"	"ENSG00000012504"	9971	0
"ELOVL5"	"ENSG00000012660"	60481	0.625952599443906
"ALOX5"	"ENSG00000012779"	240	0.654626795157463
"CALCOCO1"	"ENSG00000012822"	57658	0.609495333543088
"UBR7"	"ENSG00000012963"	55148	0.570557006281542
"MAP4K5"	"ENSG00000012983"	11183	0.620481004593187
"EHD3"	"ENSG00000013016"	30845	0.514234410207392
"PSMC4"	"ENSG00000013275"	5704	0.576786202886421
"MAN2B2"	"ENSG00000013288"	23324	0.566606983226212
"SLC7A14"	"ENSG00000013293"	57709	0
"CLDN11"	"ENSG00000013297"	101928583	0.143572629076782
"SLC25A39"	"ENSG00000013306"	51629	0.616711186952204
"MVP"	"ENSG00000013364"	9961	0.578564295297006
"NUB1"	"ENSG00000013374"	51667	0.621086671951236
"PGM3"	"ENSG00000013375"	5238	0.487089725841541
"RWDD2A"	"ENSG00000013392"	112611	0.325360902650484
"CLK1"	"ENSG00000013441"	1195	0.757098831835494
"POLR3B"	"ENSG00000013503"	55703	0.412930214868677
"ANGEL1"	"ENSG00000013523"	23357	0.501882407186413
"RNF14"	"ENSG00000013561"	9604	0.514950728272867
"DNASE1L1"	"ENSG00000013563"	1774	0.490591736369828
"DDX11"	"ENSG00000013573"	1663	0.570102277967715
"HEBP1"	"ENSG00000013583"	50865	0.397107498037228
"GPRC5A"	"ENSG00000013588"	693199	0.128963310306134
"MAMLD1"	"ENSG00000013619"	10046	0.348585204244468
"CD6"	"ENSG00000013725"	923	0.449922731548246
"TACC3"	"ENSG00000013810"	10460	0.604310616971653
"UFL1"	"ENSG00000014123"	23376	0.567014249210798
"POLA2"	"ENSG00000014138"	23649	0.516745702112537
"ZC3H3"	"ENSG00000014164"	23144	0.511031476172567
"CAPN1"	"ENSG00000014216"	823	0.644224618076234
"MDH1"	"ENSG00000014641"	4190	0.579496720770728
"SLC30A9"	"ENSG00000014824"	10463	0.559977424897769
"MTMR11"	"ENSG00000014914"	10903	0.227023713577371
"COX15"	"ENSG00000014919"	1355	0.520461796593439
"CCDC88C"	"ENSG00000015133"	440193	0.659596630962573
"YAF2"	"ENSG00000015153"	10138	0.575912438677059
"ZMYND11"	"ENSG00000015171"	10771	0.605701275346709
"WAS"	"ENSG00000015285"	7454	0.565889248587739
"DPEP1"	"ENSG00000015413"	1800	0.591400515855081
"BID"	"ENSG00000015475"	637	0.519057588140989
"MATR3"	"ENSG00000015479"	9782	0.792249852000588
"NPC1L1"	"ENSG00000015520"	29881	0.111082949200793
"XYLT2"	"ENSG00000015532"	64132	0.50018566715976
"RGPD5"	"ENSG00000015568"	729540	0.216994464782519
"STMN4"	"ENSG00000015592"	81551	0.0555414746003966
